pais,anio,llegadas_miles
Belize,2012,1028.0
Belize,2013,1022.0
Belize,2014,1289.0
Belize,2015,1299.0
Belize,2016,1391.0
Belize,2017,1441.0
Belize,2018,1697.0
Belize,2019,1674.0
Belize,2020,487.0
Costa Rica,2012,2542.0
Costa Rica,2013,2641.0
Costa Rica,2014,2760.0
Costa Rica,2015,2899.0
Costa Rica,2016,3204.0
Costa Rica,2017,3231.0
Costa Rica,2018,3313.0
Costa Rica,2019,3366.0
Costa Rica,2020,1146.5
El Salvador,2012,1738.0
El Salvador,2013,1822.0
El Salvador,2014,1886.0
El Salvador,2015,1973.0
El Salvador,2016,2052.0
El Salvador,2017,2247.0
El Salvador,2018,2536.0
El Salvador,2019,2639.0
El Salvador,2020,707.0
Guatemala,2012,1491.0
Guatemala,2013,1516.0
Guatemala,2014,1739.0
Guatemala,2015,1865.0
Guatemala,2016,1906.0
Guatemala,2017,2120.0
Guatemala,2018,2406.0
Guatemala,2019,2560.0
Guatemala,2020,594.0
Honduras,2012,1903.0
Honduras,2013,1857.0
Honduras,2014,2082.0
Honduras,2015,2093.0
Honduras,2016,2228.0
Honduras,2017,2144.0
Honduras,2018,2323.0
Honduras,2019,2315.0
Honduras,2020,669.0
Mexico,2012,76749.0
Mexico,2013,78100.0
Mexico,2014,81042.0
Mexico,2015,87129.0
Mexico,2016,94853.0
Mexico,2017,99349.0
Mexico,2018,96497.0
Mexico,2019,97406.0
Mexico,2020,51128.0
Nicaragua,2012,1233.0
Nicaragua,2013,1273.0
Nicaragua,2014,1390.0
Nicaragua,2015,1456.0
Nicaragua,2016,1596.0
Nicaragua,2017,1958.0
Nicaragua,2018,1412.0
Nicaragua,2019,1455.0
Nicaragua,2020,474.0
Panama,2012,2086.0
Panama,2013,2202.0
Panama,2014,2305.0
Panama,2015,2553.0
Panama,2016,2379.0
Panama,2017,2517.0
Panama,2018,2487.0
Panama,2019,2494.0
Panama,2020,647.0
Colombia,2012,2496.0
Colombia,2013,2595.0
Colombia,2014,2884.0
Colombia,2015,3128.0
Colombia,2016,3203.0
Colombia,2017,3414.0
Colombia,2018,3826.0
Colombia,2019,4332.0
Colombia,2020,1399.0
Colombia,2021,2139.0
Colombia,2022,4558.0
Perú,2012,2846.0
Perú,2013,3164.0
Perú,2014,3215.0
Perú,2015,3432.0
Perú,2016,3740.0
Perú,2017,4032.0
Perú,2018,4419.0
Perú,2019,4372.0
Perú,2020,897.0
Perú,2021,444.0
Perú,2022,2010.0
